name,description,manufacturer,brand,class_name,unit_cost,unit_price,product_id,product_sub_cat_fkey
a4tech 16GB New Generation MP5 Player M1650 blue,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF","a4tech, Ltd",a4tech,Regular,106.69,232.00,44,1
a4tech 16GB New Generation MP5 Player M1650 Pink,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF","a4tech, Ltd",a4tech,Regular,106.69,232.00,45,1
WWI 1GB Pulse Smart pen E50 White,"Record and link audio to be written, listen to recordings, share notes and recording with computer",Wide World Importers,Wide World Importers,Economy,76.45,149.95,46,4
WWI 1GBPulse Smart pen E50 Black,"Record and link audio to be written, listen to recordings, share notes and recording with computer",Wide World Importers,Wide World Importers,Economy,76.45,149.95,47,4
WWI 1GB Pulse Smart pen E50 Silver,"Record and link audio to be written, listen to recordings, share notes and recording with computer",Wide World Importers,Wide World Importers,Economy,76.45,149.95,48,4
WWI 2GB Pulse Smart pen M100 White,"Record and link audio to be written, listen to recordings, share notes and recording with computer",Wide World Importers,Wide World Importers,Regular,91.95,199.95,49,4
WWI 2GB Pulse Smart pen M100 Black,"Record and link audio to be written, listen to recordings, share notes and recording with computer",Wide World Importers,Wide World Importers,Regular,91.95,199.95,50,4
WWI 2GB Pulse Smart pen M100 Blue,"Record and link audio to be written, listen to recordings, share notes and recording with computer",Wide World Importers,Wide World Importers,Regular,91.95,199.95,51,4
WWI 2GB Pulse Smart pen M100 Silver,"Record and link audio to be written, listen to recordings, share notes and recording with computer",Wide World Importers,Wide World Importers,Regular,91.95,199.95,52,4
WWI 4GB Video Recording Pen X200 Black,"640 x 480 VGA audio video pen, business portable recorder, about 3 hours recording",Wide World Importers,Wide World Importers,Deluxe,98.07,296.00,53,4
WWI 4GB Video Recording Pen X200 Red,"640 x 480 VGA audio video pen, business portable recorder, about 3 hours recording",Wide World Importers,Wide World Importers,Deluxe,98.07,296.00,54,4
WWI 4GB Video Recording Pen X200 Pink,"640 x 480 VGA audio video pen, business portable recorder, about 3 hours recording",Wide World Importers,Wide World Importers,Deluxe,98.07,296.00,55,4
WWI 4GB Video Recording Pen X200 Yellow,"640 x 480 VGA audio video pen, business portable recorder, about 3 hours recording",Wide World Importers,Wide World Importers,Deluxe,98.07,296.00,56,4
WWI 1GB Digital Voice Recorder Pen E100 Black,"Voice recorder, MP3 player, USB flash drive, 64 hours recording",Wide World Importers,Wide World Importers,Economy,79.53,156.00,57,4
WWI 1GB Digital Voice Recorder Pen E100 Red,"Voice recorder, MP3 player, USB flash drive, 64 hours recording",Wide World Importers,Wide World Importers,Economy,79.53,156.00,58,4
WWI 1GB Digital Voice Recorder Pen E100 Pink,"Voice recorder, MP3 player, USB flash drive, 64 hours recording",Wide World Importers,Wide World Importers,Economy,79.53,156.00,59,4
WWI 1GB Digital Voice Recorder Pen E100 White,"Voice recorder, MP3 player, USB flash drive, 64 hours recording",Wide World Importers,Wide World Importers,Economy,79.53,156.00,60,4
WWI 2GB Spy Video Recorder Pen M300 Black,"2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras",Wide World Importers,Wide World Importers,Regular,83.24,181.00,61,4
WWI 2GB Spy Video Recorder Pen M300 White,"2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras",Wide World Importers,Wide World Importers,Regular,83.24,181.00,62,4
WWI 2GB Spy Video Recorder Pen M300 Blue,"2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras",Wide World Importers,Wide World Importers,Regular,83.24,181.00,63,4
WWI 2GB Spy Video Recorder Pen M300 Silver,"2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras",Wide World Importers,Wide World Importers,Regular,83.24,181.00,64,4
WWI 2GB Spy Video Recorder Pen M300 Purple,"2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras",Wide World Importers,Wide World Importers,Regular,83.24,181.00,65,4
NT Bluetooth Stereo Headphones E52 Blue,Seamlessly integrates wireless mobile music and calls,Northwind Traders,Northwind Traders,Economy,13.10,25.69,66,6
NT Bluetooth Stereo Headphones E52 Black,Seamlessly integrates wireless mobile music and calls,Northwind Traders,Northwind Traders,Economy,13.10,25.69,67,6
NT Bluetooth Stereo Headphones E52 Yellow,Seamlessly integrates wireless mobile music and calls,Northwind Traders,Northwind Traders,Economy,13.10,25.69,68,6
NT Bluetooth Stereo Headphones E52 Pink,Seamlessly integrates wireless mobile music and calls,Northwind Traders,Northwind Traders,Economy,13.10,25.69,69,6
NT Wireless Bluetooth Stereo Headphones E102 Silver,"Wireless range beyond 10 meters, MP3-quality stereo sound",Northwind Traders,Northwind Traders,Economy,22.05,47.95,70,6
NT Wireless Bluetooth Stereo Headphones E102 Black,"Wireless range beyond 10 meters, MP3-quality stereo sound",Northwind Traders,Northwind Traders,Economy,22.05,47.95,71,6
NT Wireless Bluetooth Stereo Headphones E102 Blue,"Wireless range beyond 10 meters, MP3-quality stereo sound",Northwind Traders,Northwind Traders,Economy,22.05,47.95,72,6
NT Wireless Bluetooth Stereo Headphones E102 White,"Wireless range beyond 10 meters, MP3-quality stereo sound",Northwind Traders,Northwind Traders,Economy,22.05,47.95,73,6
NT Bluetooth Active Headphones E202 Black,"Wireless range up10 meters, beyond 7-hour talking time.",Northwind Traders,Northwind Traders,Economy,17.45,37.95,74,6
NT Bluetooth Active Headphones E202 White,"Wireless range up10 meters, beyond 7-hour talking time.",Northwind Traders,Northwind Traders,Economy,17.45,37.95,75,6
NT Bluetooth Active Headphones E202 Red,"Wireless range up10 meters, beyond 7-hour talking time.",Northwind Traders,Northwind Traders,Economy,17.45,37.95,76,6
NT Bluetooth Active Headphones E202 Silver,"Wireless range up10 meters, beyond 7-hour talking time.",Northwind Traders,Northwind Traders,Economy,17.45,37.95,77,6
NT Wireless Bluetooth Stereo Headphones E302 Silver,"Built-In Microphone, integrated headphone button to play/pause",Northwind Traders,Northwind Traders,Economy,18.65,40.55,78,6
NT Wireless Bluetooth Stereo Headphones E302 White,"Built-In Microphone, integrated headphone button to play/pause",Northwind Traders,Northwind Traders,Economy,18.65,40.55,79,6
NT Wireless Bluetooth Stereo Headphones E302 Yellow,"Built-In Microphone, integrated headphone button to play/pause",Northwind Traders,Northwind Traders,Economy,18.65,40.55,80,6
NT Wireless Bluetooth Stereo Headphones E302 Black,"Built-In Microphone, integrated headphone button to play/pause",Northwind Traders,Northwind Traders,Economy,18.65,40.55,81,6
NT Wireless Bluetooth Stereo Headphones E302 Pink,"Built-In Microphone, integrated headphone button to play/pause",Northwind Traders,Northwind Traders,Economy,18.65,40.55,82,6
NT Wireless Bluetooth Stereo Headphones M402 Silver,"Wireless range extends to 165 feet, beyond 8 hours per charge",Northwind Traders,Northwind Traders,Regular,45.98,99.99,83,6
NT Wireless Bluetooth Stereo Headphones M402 Red,"Wireless range extends to 165 feet, beyond 8 hours per charge",Northwind Traders,Northwind Traders,Regular,45.98,99.99,84,6
NT Wireless Bluetooth Stereo Headphones M402 Green,"Wireless range extends to 165 feet, beyond 8 hours per charge",Northwind Traders,Northwind Traders,Regular,45.98,99.99,85,6
NT Wireless Bluetooth Stereo Headphones M402 Black,"Wireless range extends to 165 feet, beyond 8 hours per charge",Northwind Traders,Northwind Traders,Regular,45.98,99.99,86,6
NT Wireless Bluetooth Stereo Headphones M402 Purple,"Wireless range extends to 165 feet, beyond 8 hours per charge",Northwind Traders,Northwind Traders,Regular,45.98,99.99,87,6
NT Wireless Transmitter and Bluetooth Headphones M150 Black,"Seamlessly switch between music and calls, integrated ouch sensitive play-answer-end and volume controls",Northwind Traders,Northwind Traders,Regular,49.69,149.99,88,6
NT Wireless Transmitter and Bluetooth Headphones M150 Blue,"Seamlessly switch between music and calls, integrated ouch sensitive play-answer-end and volume controls",Northwind Traders,Northwind Traders,Regular,49.69,149.99,89,6
NT Wireless Transmitter and Bluetooth Headphones M150 Silver,"Seamlessly switch between music and calls, integrated ouch sensitive play-answer-end and volume controls",Northwind Traders,Northwind Traders,Regular,49.69,149.99,90,6
NT Wireless Transmitter and Bluetooth Headphones M150 Green,"Seamlessly switch between music and calls, integrated ouch sensitive play-answer-end and volume controls",Northwind Traders,Northwind Traders,Regular,49.69,149.99,91,6
NT Wireless Transmitter and Bluetooth Headphones M150 Red,"Seamlessly switch between music and calls, integrated ouch sensitive play-answer-end and volume controls",Northwind Traders,Northwind Traders,Regular,49.69,149.99,92,6
WWI Stereo Bluetooth Headphones E1000 Blue,"Wireless headphones with 120 ft range, built-in microphone",Wide World Importers,Wide World Importers,Economy,34.36,67.40,93,6
WWI Stereo Bluetooth Headphones E1000 Black,"Wireless headphones with 120 ft range, built-in microphone",Wide World Importers,Wide World Importers,Economy,34.36,67.40,94,6
WWI Stereo Bluetooth Headphones E1000 Silver,"Wireless headphones with 120 ft range, built-in microphone",Wide World Importers,Wide World Importers,Economy,34.36,67.40,95,6
WWI Stereo Bluetooth Headphones E1000 White,"Wireless headphones with 120 ft range, built-in microphone",Wide World Importers,Wide World Importers,Economy,34.36,67.40,96,6
WWI Stereo Bluetooth Headphones E1000 Green,"Wireless headphones with 120 ft range, built-in microphone",Wide World Importers,Wide World Importers,Economy,34.36,67.40,97,6
WWI Wireless Bluetooth Stereo Headphones M170 Silver,"Wireless range beyond 10 meters, MP3-quality stereo sound",Wide World Importers,Wide World Importers,Regular,55.18,120.00,98,6
WWI Wireless Bluetooth Stereo Headphones M170 Black,"Wireless range beyond 10 meters, MP3-quality stereo sound",Wide World Importers,Wide World Importers,Regular,55.18,120.00,99,6
WWI Wireless Bluetooth Stereo Headphones M170 White,"Wireless range beyond 10 meters, MP3-quality stereo sound",Wide World Importers,Wide World Importers,Regular,55.18,120.00,100,6
WWI Wireless Bluetooth Stereo Headphones M170 Pink,"Wireless range beyond 10 meters, MP3-quality stereo sound",Wide World Importers,Wide World Importers,Regular,55.18,120.00,101,6
WWI Wireless Bluetooth Stereo Headphones M270 Silver,"Built-In Microphone, integrated headphone button to play/pause, MP3-quality stereo sound",Wide World Importers,Wide World Importers,Regular,52.88,115.00,102,6
WWI Wireless Bluetooth Stereo Headphones M270 Black,"Built-In Microphone, integrated headphone button to play/pause, MP3-quality stereo sound",Wide World Importers,Wide World Importers,Regular,52.88,115.00,103,6
WWI Wireless Bluetooth Stereo Headphones M270 White,"Built-In Microphone, integrated headphone button to play/pause, MP3-quality stereo sound",Wide World Importers,Wide World Importers,Regular,52.88,115.00,104,6
WWI Wireless Bluetooth Stereo Headphones M270 Pink,"Built-In Microphone, integrated headphone button to play/pause, MP3-quality stereo sound",Wide World Importers,Wide World Importers,Regular,52.88,115.00,105,6
WWI Stereo Bluetooth Headphones New Generation M370 Black,"Listening to music wirelessly with other Bluetooth audio devices, built-in microphone for phone call usage",Wide World Importers,Wide World Importers,Regular,61.16,132.99,106,6
WWI Stereo Bluetooth Headphones New Generation M370 White,"Listening to music wirelessly with other Bluetooth audio devices, built-in microphone for phone call usage",Wide World Importers,Wide World Importers,Regular,61.16,132.99,107,6
WWI Stereo Bluetooth Headphones New Generation M370 Yellow,"Listening to music wirelessly with other Bluetooth audio devices, built-in microphone for phone call usage",Wide World Importers,Wide World Importers,Regular,61.16,132.99,108,6
WWI Stereo Bluetooth Headphones New Generation M370 Orange,"Listening to music wirelessly with other Bluetooth audio devices, built-in microphone for phone call usage",Wide World Importers,Wide World Importers,Regular,61.16,132.99,109,6
WWI Stereo Bluetooth Headphones New Generation M370 Blue,"Listening to music wirelessly with other Bluetooth audio devices, built-in microphone for phone call usage",Wide World Importers,Wide World Importers,Regular,61.16,132.99,110,6
WWI Wireless Transmitter and Bluetooth Headphones X250 Black,"Seamlessly switch between music and calls, integrated ouch sensitive play-answer-end and volume controls",Wide World Importers,Wide World Importers,Deluxe,82.83,249.99,111,6
WWI Wireless Transmitter and Bluetooth Headphones X250 Blue,"Seamlessly switch between music and calls, integrated ouch sensitive play-answer-end and volume controls",Wide World Importers,Wide World Importers,Deluxe,82.83,249.99,112,6
WWI Wireless Transmitter and Bluetooth Headphones X250 White,"Seamlessly switch between music and calls, integrated ouch sensitive play-answer-end and volume controls",Wide World Importers,Wide World Importers,Deluxe,82.83,249.99,113,6
WWI Wireless Transmitter and Bluetooth Headphones X250 Red,"Seamlessly switch between music and calls, integrated ouch sensitive play-answer-end and volume controls",Wide World Importers,Wide World Importers,Deluxe,82.83,249.99,114,6
WWI Wireless Transmitter and Bluetooth Headphones X250 Silver,"Seamlessly switch between music and calls, integrated ouch sensitive play-answer-end and volume controls",Wide World Importers,Wide World Importers,Deluxe,82.83,249.99,115,6
"Adventure Works 20"" CRT TV E15 Silver","20'' CRT television, built-in ATSC/NTSC tuner, receive digital and analog channels",Adventure Works,Adventure Works,Economy,86.67,169.99,116,9
"Adventure Works 20"" CRT TV E15 Black","20'' CRT television, built-in ATSC/NTSC tuner, receive digital and analog channels",Adventure Works,Adventure Works,Economy,86.67,169.99,117,9
"Adventure Works 20"" CRT TV E15 White","20'' CRT television, built-in ATSC/NTSC tuner, receive digital and analog channels",Adventure Works,Adventure Works,Economy,86.67,169.99,118,9
"Adventure Works 13"" Color TV E25 Silver","13'' Color TV, ATSC/QAM Tuner, 120 minute sleep timer",Adventure Works,Adventure Works,Economy,61.17,119.99,119,9
"Adventure Works 13"" Color TV E25 Black","13'' Color TV, ATSC/QAM Tuner, 120 minute sleep timer",Adventure Works,Adventure Works,Economy,61.17,119.99,120,9
"Adventure Works 13"" Color TV E25 White","13'' Color TV, ATSC/QAM Tuner, 120 minute sleep timer",Adventure Works,Adventure Works,Economy,61.17,119.99,121,9
"Adventure Works 19"" Portable LCD HDTV M110 Silver","19'' 720p LCD HDTV, 2 HDMI inputs, PC input for computers",Adventure Works,Adventure Works,Regular,128.76,279.99,122,9
"Adventure Works 19"" Portable LCD HDTV M110 Black","19'' 720p LCD HDTV, 2 HDMI inputs, PC input for computers",Adventure Works,Adventure Works,Regular,128.76,279.99,123,9
"Adventure Works 19"" Portable LCD HDTV M110 White","19'' 720p LCD HDTV, 2 HDMI inputs, PC input for computers",Adventure Works,Adventure Works,Regular,128.76,279.99,124,9
"Adventure Works 19"" Color Digital TV E35 Silver","19'' color TV, ATSC/QAM Tuner",Adventure Works,Adventure Works,Economy,73.11,143.40,125,9
"Adventure Works 19"" Color Digital TV E35 Black","19'' color TV, ATSC/QAM Tuner",Adventure Works,Adventure Works,Economy,73.11,143.40,126,9
"Adventure Works 19"" Color Digital TV E35 White","19'' color TV, ATSC/QAM Tuner",Adventure Works,Adventure Works,Economy,73.11,143.40,127,9
"Adventure Works 19"" Color Digital TV E35 Brown","19'' color TV, ATSC/QAM Tuner",Adventure Works,Adventure Works,Economy,73.11,143.40,128,9
"Adventure Works 20"" Analog CRT TV E45 Silver","20"" Analog CRT TV, digital comb filter removes blurred edges between colors",Adventure Works,Adventure Works,Economy,101.97,200.00,129,9
"Adventure Works 20"" Analog CRT TV E45 Black","20"" Analog CRT TV, digital comb filter removes blurred edges between colors",Adventure Works,Adventure Works,Economy,101.97,200.00,130,9
"Adventure Works 20"" Analog CRT TV E45 White","20"" Analog CRT TV, digital comb filter removes blurred edges between colors",Adventure Works,Adventure Works,Economy,101.97,200.00,131,9
"Adventure Works 20"" Analog CRT TV E45 Brown","20"" Analog CRT TV, digital comb filter removes blurred edges between colors",Adventure Works,Adventure Works,Economy,101.97,200.00,132,9
"Adventure Works 20"" LCD HDTV M120 Silver","20'' 720p LCD HDTV, HDMI v 1.3 digital inputs",Adventure Works,Adventure Works,Regular,160.93,349.95,133,9
"Adventure Works 20"" LCD HDTV M120 Black","20'' 720p LCD HDTV, HDMI v 1.3 digital inputs",Adventure Works,Adventure Works,Regular,160.93,349.95,134,9
"Adventure Works 20"" LCD HDTV M120 White","20'' 720p LCD HDTV, HDMI v 1.3 digital inputs",Adventure Works,Adventure Works,Regular,160.93,349.95,135,9
"Adventure Works 20"" LCD HDTV M120 Brown","20'' 720p LCD HDTV, HDMI v 1.3 digital inputs",Adventure Works,Adventure Works,Regular,160.93,349.95,136,9
"Adventure Works 32"" LCD HDTV M130 Silver","32'' 720p LCD HDTV, Back-Light Control, Built-In ATSC/NTSC/QAM Digital Tuning",Adventure Works,Adventure Works,Regular,229.93,499.99,137,9
"Adventure Works 32"" LCD HDTV M130 Black","32'' 720p LCD HDTV, Back-Light Control, Built-In ATSC/NTSC/QAM Digital Tuning",Adventure Works,Adventure Works,Regular,229.93,499.99,138,9
"Adventure Works 32"" LCD HDTV M130 White","32'' 720p LCD HDTV, Back-Light Control, Built-In ATSC/NTSC/QAM Digital Tuning",Adventure Works,Adventure Works,Regular,229.93,499.99,139,9
"Adventure Works 32"" LCD HDTV M130 Brown","32'' 720p LCD HDTV, Back-Light Control, Built-In ATSC/NTSC/QAM Digital Tuning",Adventure Works,Adventure Works,Regular,229.93,499.99,140,9
"Adventure Works 15.6"" LCD TV M130W Silver","15.6'' Widescreen LCD TV, built-in DVD Player",Adventure Works,Adventure Works,Regular,152.94,299.99,141,9
"Adventure Works 15.6"" LCD TV M130W Black","15.6'' Widescreen LCD TV, built-in DVD Player",Adventure Works,Adventure Works,Regular,152.94,299.99,142,9
"Adventure Works 15.6"" LCD TV M130W White","15.6'' Widescreen LCD TV, built-in DVD Player",Adventure Works,Adventure Works,Regular,152.94,299.99,143,9
"Adventure Works 15.6"" LCD TV M130W Brown","15.6'' Widescreen LCD TV, built-in DVD Player",Adventure Works,Adventure Works,Regular,152.94,299.99,144,9
"Adventure Works 52"" LCD HDTV X590 Silver","52'' 1080p 240Hz LCD HDTV, Four HDMI, two component, one PC, and two composite video inputs",Adventure Works,Adventure Works,Deluxe,960.82,2899.99,145,9
"Adventure Works 52"" LCD HDTV X590 Black","52'' 1080p 240Hz LCD HDTV, Four HDMI, two component, one PC, and two composite video inputs",Adventure Works,Adventure Works,Deluxe,960.82,2899.99,146,9
"Adventure Works 52"" LCD HDTV X590 White","52'' 1080p 240Hz LCD HDTV, Four HDMI, two component, one PC, and two composite video inputs",Adventure Works,Adventure Works,Deluxe,960.82,2899.99,147,9
"Adventure Works 52"" LCD HDTV X590 Brown","52'' 1080p 240Hz LCD HDTV, Four HDMI, two component, one PC, and two composite video inputs",Adventure Works,Adventure Works,Deluxe,960.82,2899.99,148,9
"Adventure Works 40"" LCD HDTV M690 Silver","40'' 1080p LCD HDTV, 70,000:1 dynamic contrast ratio, 6ms response time, Wide Color Enhancer 2 for more vivid colors",Adventure Works,Adventure Works,Regular,392.60,1184.97,149,9
"Adventure Works 40"" LCD HDTV M690 Black","40'' 1080p LCD HDTV, 70,000:1 dynamic contrast ratio, 6ms response time, Wide Color Enhancer 2 for more vivid colors",Adventure Works,Adventure Works,Regular,392.60,1184.97,150,9
"Adventure Works 40"" LCD HDTV M690 White","40'' 1080p LCD HDTV, 70,000:1 dynamic contrast ratio, 6ms response time, Wide Color Enhancer 2 for more vivid colors",Adventure Works,Adventure Works,Regular,392.60,1184.97,151,9
"Adventure Works 40"" LCD HDTV M690 Brown","40'' 1080p LCD HDTV, 70,000:1 dynamic contrast ratio, 6ms response time, Wide Color Enhancer 2 for more vivid colors",Adventure Works,Adventure Works,Regular,392.60,1184.97,152,9
"Adventure Works 26"" 720p LCD HDTV M140 Silver","26'' 720p LCD HDTV, 720p HD LCD Panel, Theater Wide Picture Modes",Adventure Works,Adventure Works,Regular,216.12,469.97,153,9
"Adventure Works 26"" 720p LCD HDTV M140 Black","26'' 720p LCD HDTV, 720p HD LCD Panel, Theater Wide Picture Modes",Adventure Works,Adventure Works,Regular,216.12,469.97,154,9
"Adventure Works 26"" 720p LCD HDTV M140 White","26'' 720p LCD HDTV, 720p HD LCD Panel, Theater Wide Picture Modes",Adventure Works,Adventure Works,Regular,216.12,469.97,155,9
